Date,Country Code,Country,Continent,WHO Region,New Cases,Cumulative Cases,New Deaths,Cumulative Deaths,Latitude,Longitude
2024-02-18,AU,Australia,Oceania,WPRO,7461.0,11785721,58.0,24843,-25.274398,133.775136
2024-02-25,AU,Australia,Oceania,WPRO,7398.0,11793119,40.0,24883,-25.274398,133.775136
2024-03-03,AU,Australia,Oceania,WPRO,7388.0,11800507,42.0,24925,-25.274398,133.775136
2024-03-10,AU,Australia,Oceania,WPRO,6719.0,11807226,33.0,24958,-25.274398,133.775136
2024-03-24,AU,Australia,Oceania,WPRO,5201.0,11818941,47.0,25005,-25.274398,133.775136
2024-03-31,AU,Australia,Oceania,WPRO,4698.0,11823639,34.0,25039,-25.274398,133.775136
2024-04-07,AU,Australia,Oceania,WPRO,4281.0,11827920,51.0,25090,-25.274398,133.775136
2024-04-14,AU,Australia,Oceania,WPRO,4522.0,11832442,41.0,25131,-25.274398,133.775136
2024-04-21,AU,Australia,Oceania,WPRO,4424.0,11836866,34.0,25165,-25.274398,133.775136
2024-04-28,AU,Australia,Oceania,WPRO,4657.0,11841523,21.0,25186,-25.274398,133.775136
2024-05-05,AU,Australia,Oceania,WPRO,4866.0,11846389,16.0,25202,-25.274398,133.775136
2024-05-12,AU,Australia,Oceania,WPRO,6769.0,11853158,18.0,25220,-25.274398,133.775136
2024-05-19,AU,Australia,Oceania,WPRO,8003.0,11861161,16.0,25236,-25.274398,133.775136
